First Name,Last Name,District,Party,Municipalities,Counties,House,Email,Phone,Co-sponsored Bills,2024 YES Vote,Notes
House Housing and Community Development Committee,,,,,,,,,,,
Brandon,Markosek,HD25,Democratic,"Monroeville, East McKeesport",Allegheny,General Assembly,,,,,
Aerion,Abney,HD19,Democratic,Pittsburgh,Allegheny,General Assembly,,,,,
Heather,Boyd,HD163,Democratic,"Upper Darby, Darby, Collingdale",Delaware,General Assembly,,,Y,,
Amen,Brown,HD10,Democratic,Philadelphia,Philadelphia,General Assembly,,,,,
Morgan,Cephas,HD192,Democratic,Philadelphia,Philadelphia,General Assembly,,,,,
Roni,Green,HD190,Democratic,Philadelphia,Philadelphia,General Assembly,,,Y,,
Rick,Krajewski,HD188,Democratic,Philadelphia,Philadelphia,General Assembly,,,Y,,
Dave,Madsen,HD104,Democratic,"Harrisburg, Swatara Township",Dauphin,General Assembly,,,Y,Y,
La’Tasha,Mayes,HD24,Democratic,Pittsburgh,Allegheny,General Assembly,,,Y,,
Lindsay,Powell,HD21,Democratic,Pittsburgh,Allegheny,General Assembly,,,Y,,
Tara,Probst,HD189,Democratic,East Stroudsburg,Monroe,General Assembly,,,,Y,
Joshua,Siegel,HD22,Democratic,Allentown,Lehigh,General Assembly,,,Y,,
Ismail,Smith-Wade-El,HD49,Democratic,Lancaster,Lancaster,General Assembly,,,Y,Y,
Ben,Waxman,HD182,Democratic,Philadelphia,Philadelphia,General Assembly,,,Y,,
Rich,Irvin,HD81,Republican,Shippensburg,"Franklin, Huntingdon",General Assembly,,,,,
Josh,Bashline,HD63,Republican,"Parker City, Washington Township, Kittanning","Armstrong, Clarion",General Assembly,,,,,
Tom,Jones,HD98,Republican,"East and West Donegal Township, Elizabethtown, Marietta, Mount Joy, Mount Gretna","Lancaster, Lebanon",General Assembly,,,,N,
Dallas,Kephard,HD73,Republican,"Susquehanna Township, Clearfield","Cambria, Clearfield",General Assembly,,,,,
Milou,Mackenzie,HD131,Republican,"Upper Saucon, Lower Saucon, Coopersburg, Upper Milford","Lehigh, Northampton, Montgomery",General Assembly,,,,,
Abby,Major,HD60,Republican,"Lower Burrell, Allegheny Township","Armstrong, Westmoreland",General Assembly,,,,,
Brian,Rasel,HD56,Republican,"Irwin, Jeannette, North Huntingdon, ",Westmoreland,General Assembly,,,,,
Leslie,Rossi,HD59,Republican,"Latrobe, Cook Township, Derry Township",Westmoreland,General Assembly,,,,,Real estate developer (bio)
Jeremy,Shaffer,HD28,Republican,"Hampton Township, Richland Township, Bradford Woods",Allegheny,General Assembly,,,,,
K.C.,Tomlinson,HD18,Republican,Bensalem Township,Bucks,General Assembly,,,,,
Jamie,Walsh,HD117,Republican,"Conyngham, Dallas, Freeland, Harveys Lake, Jeddo, Nescopeck, New Columbus, Nuangola, Penn Lake Park, Shickshinny and White Haven",Luzerne,General Assembly,,,,,
Eric,Weaknecht,HD5,Republican,Bethel Township,Berks,General Assembly,,,,,
,,,,,,,,,,,
House Local Government Committee,,,,,,,,,,,
Bob,Freeman,HD136,Democratic,Easton,Northampton,General Assembly,,,,Y,
Lisa,Borowski,HD168,Democratic,"Radnor, Newtown",Delaware,General Assembly,,,,Y,
Kyle,Donahue,HD113,Democratic,Scranton,Lackawanna,General Assembly,,,,Y,
Justin,Fleming,HD105,Democratic,"Lower Paxton, Susquehanna, Penbrook",Dauphin,General Assembly,,,,Y,
Jim,Haddock,HD118,Democratic,Pittston,"Lackawanna, Luzerne",General Assembly,,,,,Mayor of Pittston is a big housing proponent - Fetterman's staff can help with this
Liz,Hanbidge,HD61,Democratic,"Lower Gwynedd, Towamencin, Upper Gwynedd, Whitpain",Montgomery,General Assembly,,,,Y,
Carol,Kazeem,HD159,Democratic,"Chester, Eddystone, Marcus Hook",Delaware,General Assembly,,,,Y,
Dave,Madsen,HD104,Democratic,"Harrisburg, Swatara Township",Dauphin,General Assembly,,,,Y,
Brian,Munroe,HD144,Democratic,"New Britain, Warminster, Warrington",Bucks,General Assembly,,,,Y,
Tarah,Probst,HD189,Democratic,East Stroudsburg,Monroe,General Assembly,,,,Y,
Jim,Prokopiak,HD140,Democratic,"Falls Township, Middletown Township, Morrisville, Tullytown",Bucks,General Assembly,,,,Y,
Abigail,Salisbury,HD34,Democratic,"Pittsburgh, Braddock, Wilkinsburg, Chalfant",Allegheny,General Assembly,,,,Y,
Christina,Sappey,HD158,Democratic,"Kennett Square, Avondale, East Marlborough Township",Chester,General Assembly,,,,Y/N,"Yes on HB1976, No on HB2045"
Ismail,Smith-Wade-El,HD49,Democratic,Lancaster,Lancaster,General Assembly,,,,Y,
Brett,Miller,HD41,Republican,East and West Hempfield Township,Lancaster,General Assembly,,,,N,
Jacob,Banta,HD4,Republican,"Union City, Corry, Washington Township",Erie,General Assembly,,,,N,
Wendy,Fink,HD94,Republican,"Chanceford Township, Lower Chanceford Township, Lower Windsor",York,General Assembly,,,,N,
Jamie,Flick,HD83,Republican,"Williamsport, Armstrong Township","Union, Lycoming",General Assembly,,,,,
Tom,Jones,HD98,Republican,"East and West Donegal Township, Elizabethtown, Marietta, Mount Joy, Mount Gretna","Lancaster, Lebanon",General Assembly,,,,N,
Roman,Kozak,HD14,Republican,"Beaver Falls, New Sewickley",Beaver,General Assembly,,,,,
Andrew,Kuzma,HD39,Republican,"Elizabeth Township, Monongahela, Union Township","Allegheny, Washington",General Assembly,,,,N,
Chad,Reichard,HD90,Republican,"Mercersberg, Waynesboro, Washington Township",Franklin,General Assembly,,,,,
Alec,Ryncavage,HD119,Republican,"Nanticoke, Hanover Township, Plymouth Township",Luzerne,General Assembly,,,,N,
Dan,Watro,HD116 ,Republican,"Hazleton, Hazle Township, East Union Township","Luzerne, Schuylkill",General Assembly,,,,N,
Eric,Weaknecht,HD5,Republican,Bethel Township,Berks,General Assembly,,,,,
Parke,Wentling,HD7,Republican,"Farrell, Hermitage, Sharon",Mercer,General Assembly,,,,N,
,,,,,,,,,,,
Senate Urban Affairs and Housing Committee,,,,,,,,,,,
Joe,Picozzi,SD5,Republican,Philadelphia,Philadelphia,Senate,,,,,
Dawn,Keefer,SD31,Republican,"Mechanicsburg, York, Lower Allen Township","Cumberland, York",Senate,,,,,
Dave,Argall,SD29,Republican,"Hazleton, Bear Creek Township, White Haven, Hazle Township","Schuylkill, Carbon, Luzerne",Senate,,,,,
