permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
RP-2021-020279,philadelphia,2022-01-25,1,Residential Building,New Construction,true,Completed,-74.97908678001448,40.099696530837896,3118 BYBERRY RD,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-010593,philadelphia,2020-12-04,1,Residential Building,New Construction,true,Completed,-75.14073932049249,39.9753756805728,1611 N 3RD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-013179,philadelphia,2021-03-09,2,Residential Building,New Construction,true,Completed,-75.18605893961312,39.933677951033644,1509 S 25TH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-015436,philadelphia,2021-12-20,1,Residential Building,New Construction,true,Completed,-75.14744122944352,39.96902609112102,967 N MARSHALL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-003565,philadelphia,2020-08-22,1,Residential Building,New Construction,true,Completed,-75.15672106993517,39.93339588058213,725 LATONA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-014145,philadelphia,2023-04-24,1,Residential Building,New Construction,true,Completed,-75.11686705956322,39.9893845305914,2054 E MONMOUTH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-009333,philadelphia,2022-01-31,1,Residential Building,New Construction,true,Completed,-75.13985350997896,39.98201383134644,2041 N ORIANNA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2024-000318,philadelphia,2024-07-23,9,Building,New Construction,true,Completed,-75.14515284986035,39.98107533115036,1941 N MARSHALL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-008393,philadelphia,2021-12-20,1,Building,New Construction,true,Completed,-75.22495398963355,39.94760781084743,5050 BALTIMORE AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-011607,philadelphia,2021-12-09,1,Residential Building,New Construction,true,Expired,-75.12577424953113,39.98913885128684,1812 E OAKDALE ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-006888,philadelphia,2024-08-21,1,Residential Building,New Construction (Stand Alone),true,Completed,-75.18069438054093,39.93011975138057,2113 PIERCE ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-012450,philadelphia,2020-11-20,1,Residential Building,New Construction,true,Completed,-75.11693210992816,39.971272101012175,2001 BEACH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-012204,philadelphia,2021-11-24,1,Residential Building,New Construction,true,Completed,-75.12186085968649,39.98136442134528,2318 E HAZZARD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-004816,philadelphia,2020-11-13,1,Residential Building,New Construction,true,Completed,-75.14514065026701,39.974732670816756,1510-48 N RANDOLPH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-001718,philadelphia,2020-09-10,1,Residential Building,New Construction,true,Completed,-75.12174465034904,39.981768111147254,2307 E HAZZARD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-003524,philadelphia,2020-07-16,1,Residential Building,New Construction,true,Completed,-75.18920790045414,39.936226930648196,2703 EARP ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-013512,philadelphia,2021-12-11,1,Residential Building,New Construction,true,Completed,-75.21691949973159,40.023201010567966,128 SHURS LN,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-002651,philadelphia,2022-01-05,1,Building,New Construction,true,Completed,-75.09683385982186,40.02922338116802,4801 LANGDON ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-006884,philadelphia,2024-10-08,2,Residential Building,New Construction,true,Issued,-75.20139521014474,39.96551814068078,3941 FAIRMOUNT AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-002805,philadelphia,2024-03-28,2,Residential Building,New Construction,true,Issued,-75.21412059996116,40.001323550817666,4096 CONSHOHOCKEN AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-007657,philadelphia,2021-03-09,1,Residential Building,New Construction,true,Completed,-75.1874118105362,39.93329600112648,1539 S BAMBREY ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-007025,philadelphia,2021-06-05,1,Residential Building,New Construction,true,Completed,-75.15181312006456,39.98386747126326,1110 DIAMOND ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-003405,philadelphia,2021-12-27,1,Residential Building,New Construction,true,Issued,-75.16583542997606,39.97459616059897,1814 INGERSOLL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-010763,philadelphia,2020-12-04,1,Residential Building,New Construction,true,Completed,-75.18616065002057,39.92917635070764,1850 S RINGGOLD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1055970,philadelphia,2020-09-14,55,Building,New Construction,true,Completed,-75.20304641008453,39.95634078104365,4014 LUDLOW ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2024-002547,philadelphia,2024-08-12,1,Building,New Construction,true,Completed,-75.02913061048034,40.09577432130621,9903 BUSTLETON AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2023-003485,philadelphia,2024-01-23,4,Building,New Construction,true,Completed,-75.05686078047162,40.04770749119876,2327-83 COTTMAN AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1053827,philadelphia,2020-09-16,1,Residential Building,New Construction,true,Completed,-75.1783636699115,39.93456200071295,1344 S CAPITOL ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-017589,philadelphia,2021-12-22,1,Residential Building,New Construction,true,Completed,-75.13051241025757,39.975723031161834,1625 E EYRE ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
1029427,philadelphia,2020-01-08,2,Residential Building,New Construction,true,Completed,-75.22859061961005,40.035050230752084,242 FOUNTAIN ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-013269,philadelphia,2021-12-06,2,Residential Building,New Construction,true,Completed,-75.14879128997022,39.96306154072496,650 FAIRMOUNT AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-000055,philadelphia,2021-03-01,3,Building,New Construction,true,Completed,-75.17486640953959,39.98164870099102,2427 CLIFFORD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-006601,philadelphia,2021-12-23,30,Building,New Construction,true,Completed,-75.21266555046653,40.031563421021204,5959-63 RIDGE AVE,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-011148,philadelphia,2021-09-28,1,Residential Building,New Construction,true,Completed,-75.19007046981882,39.90834718096641,3429 PIETRO WAY,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-002024,philadelphia,2021-06-11,2,Residential Building,New Construction,true,Completed,-75.16331465941829,39.97277412116996,1624 W STILES ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
