permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
BP-2019-06027,pittsburgh,2020-01-08,0,BUILDING,NEW CONSTRUCTION,true,Completed,-79.9767019405,40.427119177,"124 S 21ST ST, Pittsburgh, 15203-",https://data.wprdc.org/dataset/pli-permits
MP-2023-21367,pittsburgh,2024-01-22,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9033232022,40.4576720199,"6920 BENNETT ST #201, Pittsburgh, PA 15208-",https://data.wprdc.org/dataset/pli-permits
FAS-2020-20146,pittsburgh,2021-04-08,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-80.0553715872,40.455351479,"3021 LANDIS ST, Pittsburgh, PA 15204-",https://data.wprdc.org/dataset/pli-permits
FAS-2024-10385,pittsburgh,2024-10-10,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.990107428,40.4583803129,"1146 GOETTMAN ST #3, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
SSP-2020-01534,pittsburgh,2020-06-05,0,Suppression System Permit,NEW SYSTEM,false,Completed,-79.9962833318,40.4510221241,"234 VOEGHTLY ST, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
FAS-2022-15355,pittsburgh,2022-10-21,0,Fire Alarm Permit,NEW SYSTEM,false,Issued,-79.961461068,40.4698007077,"4101 BUTLER ST, Pittsburgh, 15201-",https://data.wprdc.org/dataset/pli-permits
EP-2024-09609,pittsburgh,2024-06-24,0,ELECTRICAL,NEW CONSTRUCTION,true,Revoked,-80.0414442066,40.4129278975,"1329 KIRSOPP AVE, Pittsburgh, PA 15220-",https://data.wprdc.org/dataset/pli-permits
BP-2020-01455,pittsburgh,2020-08-19,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9903585214,40.4486022823,"1447 SMALLMAN ST, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
MP-2023-15316,pittsburgh,2023-09-14,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-80.0794308566,40.4498994083,"104 CEDARWOOD PL, Pittsburgh, PA 15205-",https://data.wprdc.org/dataset/pli-permits
EP-2023-05927,pittsburgh,2023-09-05,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0197014994,40.460932068,"902 MORRISON ST, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
SSP-2019-09999,pittsburgh,2020-06-17,0,Suppression System Permit,NEW SYSTEM,false,Completed,-79.966989898,40.456858644,"3105 BRERETON ST, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
BP-2020-04645,pittsburgh,2020-12-11,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9328580186,40.4200304837,"705 HAZELWOOD AVE, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
MP-2021-01090,pittsburgh,2021-09-23,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9946266331,40.4353091287,"700 2ND AVE #533, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
EP-2022-16577,pittsburgh,2023-03-01,0,ELECTRICAL,NEW CONSTRUCTION,false,Completed,-79.9275565313,40.4621549752,"5818 PENN AVE, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
BP-2024-01665,pittsburgh,2024-04-25,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9639972173,40.4685327573,"3913 BUTLER ST, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
MP-2020-08971,pittsburgh,2020-12-17,0,MECHANICAL,NEW CONSTRUCTION,true,Issued,-79.9871161227,40.4512735711,"1726 WATERFRONT PL, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
BP-2022-01601,pittsburgh,2023-01-20,0,BUILDING,NEW CONSTRUCTION,true,Completed,-79.9353850843,40.4661276679,"5400 KINCAID ST, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
FAS-2022-09376,pittsburgh,2022-09-26,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9967302585,40.4435397614,"937 LIBERTY AVE, Pittsburgh, 15222-",https://data.wprdc.org/dataset/pli-permits
EP-2021-01369,pittsburgh,2021-03-12,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9784182121,40.4298755577,"1912 FOX Way, Pittsburgh, PA 15203-",https://data.wprdc.org/dataset/pli-permits
EP-2022-12618,pittsburgh,2022-12-15,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9879335135,40.445388572,"1547 CLIFF ST, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
MP-2020-14367,pittsburgh,2021-01-15,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9705667215,40.4429998145,"22 STRAYHORN Way, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
SSP-2023-04334,pittsburgh,2023-05-01,0,Suppression System Permit,NEW SYSTEM,false,Completed,-79.9585219413,40.4413543266,"3612 5TH AVE #303, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
BP-2024-05014,pittsburgh,2024-08-08,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9455790183,40.4651130984,"4842 PENN AVE #303, Pittsburgh, PA 15224-",https://data.wprdc.org/dataset/pli-permits
MP-2022-18548,pittsburgh,2023-06-30,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9211060768,40.4587972853,"163 SHADY AVE #114, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
MP-2021-07742,pittsburgh,2021-07-06,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9667617022,40.4391144437,"134 BURROWS ST, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
OLP-2022-11818,pittsburgh,2022-08-05,0,Occupant Load Placard Permit,NEW,false,Completed,-80.005125866,40.4386640696,"20 STANWIX ST #2000, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
SP-2020-06781,pittsburgh,2020-06-25,0,Sign Permit,NEW,false,Completed,-80.0399340529,40.4045335337,"2858 BANKSVILLE RD, Pittsburgh, PA 15216-",https://data.wprdc.org/dataset/pli-permits
MP-2021-12497,pittsburgh,2021-08-09,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-80.0131692102,40.4644839126,"2022 DRUM ST, Pittsburgh, 15214-",https://data.wprdc.org/dataset/pli-permits
MP-2024-06651,pittsburgh,2024-05-03,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9819997078,40.4398191177,"1738 REED ST #424, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
SP-2021-01683,pittsburgh,2021-02-12,0,Sign Permit,NEW,false,Completed,-80.0106423909,40.4457886059,"353 NORTH SHORE DR, Pittsburgh, PA 15212",https://data.wprdc.org/dataset/pli-permits
SP-2024-12216,pittsburgh,2024-10-29,0,Sign Permit,NEW,false,Completed,-80.0530772325,40.4285314217,"2251 NOBLESTOWN RD, Pittsburgh, PA 15205-",https://data.wprdc.org/dataset/pli-permits
SP-2024-12790,pittsburgh,2024-10-21,0,Sign Permit,NEW,false,Issued,-79.9485233329,40.4446808469,"417 S CRAIG ST, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
EP-2020-05583,pittsburgh,2020-05-14,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9635398255,40.467214096,"208 39TH ST, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
SP-2022-07208,pittsburgh,2022-08-24,0,Sign Permit,NEW,false,Issued,-80.0294061465,40.3977177859,"2676 WEST LIBERTY AVE, Pittsburgh, PA 15216-",https://data.wprdc.org/dataset/pli-permits
EP-2021-16593,pittsburgh,2021-10-12,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9272692725,40.4649651114,"300 N SAINT CLAIR ST, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
OLP-2021-06583,pittsburgh,2021-05-18,0,Occupant Load Placard Permit,NEW,false,Completed,-79.9148003067,40.4566645641,"136 BAKERY SQUARE BLVD, Pittsburgh, 15206-",https://data.wprdc.org/dataset/pli-permits
OLP-2020-20364,pittsburgh,2020-12-28,0,Occupant Load Placard Permit,NEW,false,Completed,-80.0220131787,40.4471260635,"757 CASINO DR, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
MP-2021-13366,pittsburgh,2021-08-12,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.8915499672,40.4518101343,"520 N BRADDOCK AVE, Pittsburgh, PA 15208-",https://data.wprdc.org/dataset/pli-permits
SP-2023-01464,pittsburgh,2023-01-31,0,Sign Permit,NEW,false,Completed,-79.9231444019,40.4351891868,"1926 MURRAY AVE, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
FAS-2024-02843,pittsburgh,2024-04-10,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9275565313,40.4621549752,"5818 PENN AVE, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
